k,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard,theta_fit
7,156,566,TorusMDS_random_1x_scale2,6.2816,1.004549714342561,0.9954708918059484,10000.0,max_iters,0.1262,0.3486447758838607,0.3762778716722204,0.2760560079409728,0.2020272716867483,0.9456006081751656,4.574668,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,157,387,TorusMDS_random_1x_scale2,5.7825,0.9926995321642004,1.0073541566196609,10000.0,max_iters,0.0256,0.3485683662197527,0.3770968352441404,0.2797723728314659,0.2657860389478423,0.8744112142529139,4.70684,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,158,532,TorusMDS_random_1x_scale2,6.0879,1.0112861898974674,0.9888397666158066,10000.0,max_iters,0.0632,0.3355451514105511,0.3657684373151831,0.2628982446440538,0.2822859878395905,0.9864460085815016,4.425986,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,159,155,TorusMDS_random_1x_scale2,5.6289,0.9773657105824533,1.0231584648125809,10000.0,max_iters,0.0031,0.3447461867115242,0.3803258773232456,0.2821060423286429,0.3379185268583405,0.5523415743367525,5.490392,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,160,366,TorusMDS_random_1x_scale2,5.8059,0.9851140953900516,1.0151108431801033,10000.0,max_iters,0.0264,0.3381389475972884,0.3640914277125422,0.2674196298278888,0.313210749179573,0.947028475188394,4.51019,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,161,792,TorusMDS_random_1x_scale2,6.35,0.995833566309686,1.004183865488441,10000.0,max_iters,0.1413,0.3479595791866826,0.3741953485845887,0.2739556824550247,0.1918309128375393,0.9789229463262964,4.543098,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,162,496,TorusMDS_random_1x_scale2,6.0931,1.0076843779342626,0.9923742214303098,10000.0,max_iters,0.0546,0.336890161660398,0.3653167386826126,0.2629759560384879,0.2925396428076495,0.9880808080808078,4.404705,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,163,149,TorusMDS_random_1x_scale2,5.6096,0.9910841728821334,1.008996034203572,10000.0,max_iters,0.0031,0.3409219037679192,0.3779624623419844,0.2784028980926773,0.3637824847974013,0.5659469115169535,5.49672,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,164,230,TorusMDS_random_1x_scale2,5.6977,0.996167846570166,1.00384689532294,10000.0,max_iters,0.008,0.3460812795479692,0.3747708889664751,0.2838816503749511,0.3053892299822495,0.7574508629798151,4.930916,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
5,165,878,TorusMDS_random_1x_scale2,6.2883,1.0007106117525717,0.999289892857909,10000.0,max_iters,0.301,0.3429511622130565,0.3775593968296265,0.2678400822770576,0.2377793370003501,0.9987878787878788,4.414326,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,166,325,TorusMDS_random_1x_scale2,5.775,1.00327612581967,0.9967345721328776,10000.0,max_iters,0.0178,0.3415784117444179,0.367891137287441,0.2757100125050501,0.287831510715268,0.859439091483835,4.688979,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,167,145,TorusMDS_random_1x_scale2,5.6088,0.987335826917321,1.0128266115109177,10000.0,max_iters,0.0028,0.3343691798630501,0.3758453724137487,0.2755627351170867,0.3816797125001139,0.579829263890825,5.505737,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,168,615,TorusMDS_random_1x_scale2,6.4381,0.9248708213745868,1.0812320779173816,10000.0,max_iters,0.1002,0.3463257476578221,0.3816370224463383,0.2682368547469793,0.2925423579544761,0.9983838383838384,4.410922,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,169,166,TorusMDS_random_1x_scale2,5.7044,1.0081323643687423,0.9919332374833192,10000.0,max_iters,0.0038,0.3366926554828395,0.3765702811061999,0.2763326813163156,0.3819160495124297,0.63653445522877,5.305337,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,170,102,TorusMDS_random_1x_scale2,6.0455,1.020609436048843,0.9798067357395502,10000.0,max_iters,0.0017,0.3132188337099374,0.3555600749321425,0.2588684528146586,0.4906989133023396,0.7667617943119215,5.013482,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,171,520,TorusMDS_random_1x_scale2,6.1846,1.0026114070293586,0.9973953946553472,10000.0,max_iters,0.1154,0.3474730015792425,0.3739543149564815,0.2759615601466401,0.2202199307970416,0.930002089719348,4.567963,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,172,408,TorusMDS_random_1x_scale2,5.9121,1.0121842413658064,0.9879624273251228,10000.0,max_iters,0.033,0.3392032478659973,0.362258817541176,0.2681076330947485,0.294415532015702,0.9537206629647036,4.491496,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,173,176,TorusMDS_random_1x_scale2,5.6154,0.9617810923507524,1.0397376367171394,10000.0,max_iters,0.0053,0.3303860454924401,0.3616263964123059,0.2691031953827335,0.4052328879876599,0.8271544433120745,4.744992,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,174,247,TorusMDS_random_1x_scale2,5.8765,0.9946542950708868,1.0053744350731753,10000.0,max_iters,0.0093,0.3418990088846028,0.3702105406584953,0.2786952561799836,0.3193312882907143,0.7772069123767262,4.897321,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,175,838,TorusMDS_random_1x_scale2,6.274,1.1219491370458898,0.8913060021892045,10000.0,max_iters,0.2472,0.3405997995845163,0.3798036115843717,0.2599064527046992,0.273455185891754,0.9995959595959596,4.418358,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
