epsilon,eps_actual,graph_type,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard,theta_fit
0.4,0.4,euclidean,194,215,wrap_typescript,3.3862,,,,,0.0168,0.2095441125158404,0.2606529923149834,0.1831624740182659,0.8653056271962898,0.8899234574269346,5.194406,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,toroidal,195,638,wrap_typescript,53.4655,,,,,0.0956,0.4252961727225306,0.3578140187978687,0.3120244088446876,0.1168113260390822,0.3288098431161729,7.132904,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,toroidal,196,186,wrap_typescript,2.1474,,,,,0.0074,0.152645488480976,0.1947471296144544,0.1285299562617987,0.8954000556505282,0.844790927255643,6.077584,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.11,toroidal,197,142,wrap_typescript,1.119,,,,,0.0021,0.2764725873780012,0.2254961289859598,0.1800672100123557,0.8815643314424588,0.7943069047300213,26.551135,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,toroidal,198,733,wrap_typescript,74.9395,,,,,0.134,0.4213842689823547,0.3569015743080386,0.3118331180261665,0.123536237159534,0.34911679569767,7.134053,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,199,636,wrap_typescript,52.3335,,,,,0.3288,0.1760504246489267,0.2425548296737074,0.1528179367792555,0.9152753246005252,0.951771943206532,6.044576,results/grg_normalized_wrap_typescript_comparison.csv,
0.28,0.28,euclidean,0,433,wrap_python_newdist,5.0716,,,,,0.11,0.1954534826932766,0.2272593787336713,0.1570821310875967,0.878327696570472,0.8970059190332594,6.63541,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.16,0.16,toroidal,1,633,wrap_python_newdist,4.3631,,,,,0.081,0.1063134796603089,0.1521934494813747,0.0922155831652121,0.95050445674597,0.9337922661659956,7.899395,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.4,0.4,toroidal,2,271,wrap_python_newdist,1.0327,,,,,0.0368,0.2894355833337225,0.3358356077509652,0.2292534861401144,0.6960187460088187,1.0,4.189085,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.28,0.28,toroidal,3,400,wrap_python_newdist,1.8554,,,,,0.0528,0.1688605813912817,0.2189278654685834,0.1476541031127031,0.8535615729537944,0.970559161506883,4.768866,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.4,0.4,toroidal,4,505,wrap_python_newdist,6.4719,,,,,0.2723,0.3838923004855987,0.4605428123238419,0.3142321017502508,0.5409563438351958,1.0,4.014299,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.34,0.34,toroidal,5,211,wrap_python_newdist,0.4835,,,,,0.0141,0.187322069546941,0.2382507111604894,0.161100744722746,0.8390615875261972,0.995109591586008,4.163956,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.16,0.16,toroidal,6,318,wrap_python_newdist,0.564,,,,,0.0154,0.1009501936968686,0.1385661011880335,0.0870900766967806,0.9513972041566868,0.9252815256427668,8.227239,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.22,0.22,euclidean,7,139,wrap_python_newdist,0.0999,,,,,0.0031,0.1546137350988823,0.1747433164120045,0.1175712049656567,0.953482773251372,0.9395134690021526,9.392412,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.4,0.4,toroidal,8,269,wrap_python_newdist,1.0246,,,,,0.0325,0.2940846633855516,0.3421825957841129,0.2356664471229965,0.6853336970329916,1.0,4.200711,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.1,0.13,euclidean,9,171,wrap_python_newdist,0.1257,,,,,0.0033,0.1941787541813497,0.1662104207020524,0.131308490671114,0.9347407671843092,0.9439327543801228,18.609522,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.4,0.4,toroidal,10,537,wrap_python_newdist,7.2767,,,,,0.3418,0.3670106596003122,0.4418003364464444,0.2998770677952314,0.5370402730595412,1.0,4.039525,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.4,0.4,toroidal,11,357,wrap_python_newdist,2.1087,,,,,0.0741,0.3269279366796482,0.3842728612584703,0.2621485182518372,0.6043125758436756,1.0,4.151646,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.22,0.22,toroidal,12,452,wrap_python_newdist,1.9227,,,,,0.0507,0.136907722472446,0.1836414635545097,0.1194259645957246,0.9183077937596492,0.9360702340132536,5.89521,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.28,0.28,euclidean,13,362,wrap_python_newdist,1.2145,,,,,0.0336,0.1519441750720815,0.2010024536716352,0.1328057410029523,0.9387939565207418,0.9643548326678344,7.226161,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.22,0.22,toroidal,14,329,wrap_python_newdist,0.8482,,,,,0.0236,0.1353408974143689,0.1814017425678779,0.1174524427957373,0.9174733844210464,0.9229703105901108,6.001953,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.22,0.22,euclidean,15,823,wrap_python_newdist,8.942,,,,,0.2195,0.1640832642510753,0.1870502575661797,0.1275491549425842,0.928269784613044,0.9721474611191884,8.447271,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.16,0.16,euclidean,16,123,wrap_python_newdist,0.0642,,,,,0.0021,0.1413448196083035,0.142700996261647,0.0973282452054166,0.9633573911521728,0.9249058621276643,13.753436,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.1,0.1,euclidean,17,856,wrap_python_newdist,4.9693,,,,,0.1007,0.1262821784987314,0.1204793364804583,0.0856397343370491,0.971163413001282,0.9550462511344864,18.930493,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.28,0.28,toroidal,18,467,wrap_python_newdist,2.9204,,,,,0.1663,0.1749654988724316,0.2255642138176188,0.1530627361106035,0.8568136022100316,0.9646612026961126,4.75259,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.4,0.4,euclidean,19,250,wrap_python_newdist,0.7828,,,,,0.0256,0.1964871608882319,0.2525253759738157,0.1734122330633698,0.8838673737953341,0.8904205203445038,5.284391,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.4,0.4,euclidean,20,199,wrap_python_newdist,0.4591,,,,,0.0125,0.1999097574035486,0.2594951733325404,0.1779637217750508,0.885383182849884,0.891360406933859,5.275642,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.28,0.28,toroidal,21,634,wrap_python_newdist,6.7889,,,,,0.2834,0.1831515422742141,0.2336193454062387,0.1595866788971257,0.8410027564191752,0.9581674688468244,4.732836,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.28,0.28,euclidean,22,426,wrap_python_newdist,1.9986,,,,,0.0526,0.1502027921052922,0.1987455365372414,0.1309310635159292,0.935931378023974,0.9686082745463238,7.120999,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.4,0.4,euclidean,23,961,wrap_python_newdist,42.4515,,,,,0.9937,0.2643137656411252,0.3619163861165347,0.2340186934111957,0.7883971343664877,0.8983834700954401,4.98244,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.4,0.4,toroidal,24,119,wrap_python_newdist,0.106,,,,,0.0047,0.2708611253404645,0.3221769182083393,0.2190938113882462,0.7362605981591962,1.0,4.190086,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.1,0.1,toroidal,25,558,wrap_python_newdist,1.6844,,,,,0.0389,0.0826160709418715,0.1097196004876422,0.0701185910964407,0.965902334293594,0.8843411506793857,12.983605,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.22,0.22,euclidean,26,533,wrap_python_newdist,2.7144,,,,,0.068,0.1574435328839642,0.182581340493784,0.1216574543305465,0.935372768267418,0.9654194658055232,8.369532,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.16,0.16,euclidean,27,367,wrap_python_newdist,0.7769,,,,,0.0196,0.1167218771507708,0.1405511900577221,0.0874731402902615,0.9663190692944968,0.9475109266040488,12.404009,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.16,0.16,euclidean,28,198,wrap_python_newdist,0.1858,,,,,0.0048,0.1483021986968146,0.1524407301021581,0.1074426359375139,0.9474741940680356,0.9114600766876988,12.960479,results/grg_normalized_wrap_python_newdist_comparison.csv,
0.28,0.28,toroidal,29,441,wrap_python_newdist,2.3772,,,,,0.0681,0.174320457279532,0.2241180133202323,0.1516020538275133,0.8497245921832963,0.9641329227417617,4.775905,results/grg_normalized_wrap_python_newdist_comparison.csv,
